Prices (USD/bbl),Date (CDT),Time (CDT)
74.74,2021-07-27,07:00:00
74.77,2021-07-27,07:06:01
74.73,2021-07-27,07:10:00
74.67,2021-07-27,07:15:42
74.67,2021-07-27,07:20:43
74.68,2021-07-27,07:25:55
74.66,2021-07-27,07:30:36
74.64,2021-07-27,07:36:56
74.62,2021-07-27,07:40:00
74.64,2021-07-27,07:45:37
74.59,2021-07-27,07:50:37
74.6,2021-07-27,07:55:01
74.61,2021-07-27,08:00:01
74.72,2021-07-27,08:05:53
74.68,2021-07-27,08:10:57
74.72,2021-07-27,08:15:55
74.69,2021-07-27,08:20:52
74.67,2021-07-27,08:26:55
74.7,2021-07-27,08:30:01
74.78,2021-07-27,08:35:01
74.8,2021-07-27,08:41:58
74.8,2021-07-27,08:46:01
74.81,2021-07-27,08:50:43
74.8,2021-07-27,08:56:49
74.78,2021-07-27,09:00:00
74.84,2021-07-27,09:05:01
74.89,2021-07-27,09:10:48
74.93,2021-07-27,09:15:00
74.85,2021-07-27,09:20:54
74.81,2021-07-27,09:25:30
74.82,2021-07-27,09:30:01
74.99,2021-07-27,09:36:00
75.02,2021-07-27,09:40:02
75.03,2021-07-27,09:46:00
74.98,2021-07-27,09:50:49
75.01,2021-07-27,09:55:36
75,2021-07-27,10:00:01
74.95,2021-07-27,10:05:00
74.91,2021-07-27,10:10:59
74.93,2021-07-27,10:15:35
74.91,2021-07-27,10:20:40
74.85,2021-07-27,10:25:01
74.89,2021-07-27,10:30:02
74.89,2021-07-27,10:36:29
74.9,2021-07-27,10:40:32
74.85,2021-07-27,10:47:58
74.84,2021-07-27,10:50:48
74.85,2021-07-27,10:56:24
74.86,2021-07-27,11:00:01
74.83,2021-07-27,11:05:40
74.86,2021-07-27,11:10:01
74.85,2021-07-27,11:15:31
74.85,2021-07-27,11:20:52
74.88,2021-07-27,11:25:01
74.86,2021-07-27,11:30:12
74.86,2021-07-27,11:36:00
74.87,2021-07-27,11:41:18
74.85,2021-07-27,11:47:51
74.85,2021-07-27,11:50:02
74.83,2021-07-27,11:55:02
74.81,2021-07-27,12:00:00
74.8,2021-07-27,12:05:41
74.76,2021-07-27,12:10:00
74.79,2021-07-27,12:16:42
74.81,2021-07-27,12:20:00
74.86,2021-07-27,12:26:56
74.77,2021-07-27,12:31:00
74.84,2021-07-27,12:35:33
74.85,2021-07-27,12:40:53
74.81,2021-07-27,12:45:51
74.88,2021-07-27,12:50:47
74.89,2021-07-27,12:56:01
74.84,2021-07-27,13:01:01
74.85,2021-07-27,13:06:00
74.77,2021-07-27,13:11:00
74.77,2021-07-27,13:15:01
74.72,2021-07-27,13:20:01
74.79,2021-07-27,13:25:40
74.8,2021-07-27,13:30:00
74.72,2021-07-27,13:35:01
74.67,2021-07-27,13:40:01
74.61,2021-07-27,13:45:00
74.66,2021-07-27,13:50:57
74.58,2021-07-27,13:55:01
74.53,2021-07-27,14:00:02
74.5,2021-07-27,14:06:01
74.46,2021-07-27,14:10:00
74.37,2021-07-27,14:16:01
74.37,2021-07-27,14:20:01
74.41,2021-07-27,14:25:57
74.29,2021-07-27,14:30:00
74.34,2021-07-27,14:35:59
74.31,2021-07-27,14:40:00
74.26,2021-07-27,14:45:01
74.19,2021-07-27,14:50:51
74.34,2021-07-27,14:55:51
74.47,2021-07-27,15:00:01
74.61,2021-07-27,15:05:01
74.7,2021-07-27,15:10:01
74.65,2021-07-27,15:15:59
74.45,2021-07-27,15:21:00
74.66,2021-07-27,15:25:00
74.7,2021-07-27,15:30:01
74.74,2021-07-27,15:35:01
74.74,2021-07-27,15:40:49
74.78,2021-07-27,15:45:57
74.91,2021-07-27,15:50:55
74.85,2021-07-27,15:55:54
74.8,2021-07-27,16:00:01
74.62,2021-07-27,16:05:59
74.65,2021-07-27,16:10:01
74.66,2021-07-27,16:15:49
74.75,2021-07-27,16:20:45
74.72,2021-07-27,16:25:00
74.67,2021-07-27,16:31:01
74.64,2021-07-27,16:35:49
74.76,2021-07-27,16:40:01
74.76,2021-07-27,16:45:59
74.74,2021-07-27,16:50:47
74.84,2021-07-27,16:55:59
74.83,2021-07-27,17:00:00
74.84,2021-07-27,17:05:52
74.71,2021-07-27,17:10:59
74.61,2021-07-27,17:15:54
74.69,2021-07-27,17:20:56
74.7,2021-07-27,17:25:58
74.72,2021-07-27,17:30:56
74.68,2021-07-27,17:35:59
74.68,2021-07-27,17:40:45
74.72,2021-07-27,17:45:00
74.69,2021-07-27,17:50:01
74.69,2021-07-27,17:55:43
74.69,2021-07-27,18:00:00
74.68,2021-07-27,18:05:59
74.75,2021-07-27,18:11:00
74.81,2021-07-27,18:15:01
74.78,2021-07-27,18:21:01
74.82,2021-07-27,18:25:55
74.89,2021-07-27,18:30:01
74.94,2021-07-27,18:35:59
74.89,2021-07-27,18:41:01
74.74,2021-07-27,18:46:01
74.67,2021-07-27,18:51:00
74.67,2021-07-27,18:55:55
74.66,2021-07-27,19:00:02
74.6,2021-07-27,19:06:00
74.67,2021-07-27,19:10:01
74.72,2021-07-27,19:16:00
74.67,2021-07-27,19:20:01
74.72,2021-07-27,19:25:51
74.64,2021-07-27,19:30:56
74.63,2021-07-27,19:35:00
74.57,2021-07-27,19:40:00
74.59,2021-07-27,19:45:01
74.67,2021-07-27,19:50:51
74.62,2021-07-27,19:56:01
74.68,2021-07-27,20:00:01
74.59,2021-07-27,20:05:01
74.57,2021-07-27,20:10:01
74.54,2021-07-27,20:15:00
74.64,2021-07-27,20:20:55
74.67,2021-07-27,20:25:00
74.59,2021-07-27,20:30:01
74.68,2021-07-27,20:35:01
74.55,2021-07-27,20:40:02
74.53,2021-07-27,20:45:00
74.6,2021-07-27,20:50:00
74.59,2021-07-27,20:56:01
74.57,2021-07-27,21:00:00
74.61,2021-07-27,21:05:00
74.56,2021-07-27,21:10:00
74.54,2021-07-27,21:16:00
74.64,2021-07-27,21:20:01
74.61,2021-07-27,21:26:00
74.63,2021-07-27,21:30:01
74.55,2021-07-27,21:35:00
74.54,2021-07-27,21:41:00
74.52,2021-07-27,21:45:00
