Prices (USD/bbl),Date (CDT),Time (CDT)
36.03,2016-08-03,13:00:00
37.23,2016-08-04,13:00:00
38.18,2016-08-05,13:00:00
38.98,2016-08-08,13:00:00
39.32,2016-08-10,13:00:00
38.45,2016-08-11,13:00:00
40.94,2016-08-12,13:00:00
42.27,2016-08-15,13:00:00
43.24,2016-08-16,13:00:00
43.46,2016-08-17,13:00:00
44.57,2016-08-18,13:00:00
45,2016-08-19,13:00:00
44.76,2016-08-22,13:00:00
43.34,2016-08-23,13:00:00
43.83,2016-08-24,13:00:00
43.45,2016-08-25,13:00:00
43.88,2016-08-26,13:00:00
43.69,2016-08-29,13:00:00
44.12,2016-08-30,13:00:00
42.77,2016-08-31,13:00:00
41.23,2016-09-01,13:00:00
40.02,2016-09-02,13:00:00
42.88,2016-09-05,13:00:00
41.82,2016-09-06,13:00:00
42.16,2016-09-07,13:00:00
43.29,2016-09-08,13:00:00
44.32,2016-09-09,13:00:00
42.45,2016-09-13,13:00:00
42.42,2016-09-14,13:00:00
40.82,2016-09-15,13:00:00
41.16,2016-09-16,13:00:00
41.48,2016-09-19,13:00:00
40.9,2016-09-20,13:00:00
42.03,2016-09-21,13:00:00
42.51,2016-09-22,13:00:00
42.4,2016-09-23,13:00:00
41.08,2016-09-26,13:00:00
42.08,2016-09-27,13:00:00
41.3,2016-09-28,13:00:00
43.17,2016-09-29,13:00:00
43.58,2016-09-30,13:00:00
44.66,2016-10-03,13:00:00
44.43,2016-10-04,13:00:00
45.61,2016-10-05,13:00:00
45.42,2016-10-06,13:00:00
46.64,2016-10-07,13:00:00
46.5,2016-10-10,13:00:00
47.44,2016-10-11,13:00:00
47.56,2016-10-12,13:00:00
46.47,2016-10-13,13:00:00
47.23,2016-10-14,13:00:00
46.69,2016-10-17,13:00:00
46.77,2016-10-18,13:00:00
47.24,2016-10-19,13:00:00
47.13,2016-10-20,13:00:00
46.46,2016-10-21,13:00:00
46.99,2016-10-24,13:00:00
46.96,2016-10-25,13:00:00
45.58,2016-10-26,13:00:00
45.67,2016-10-27,13:00:00
45.71,2016-10-28,13:00:00
44.98,2016-10-31,13:00:00
44.44,2016-11-01,13:00:00
42.86,2016-11-02,13:00:00
42.43,2016-11-03,13:00:00
41.72,2016-11-04,13:00:00
41.6,2016-11-07,14:00:00
41.77,2016-11-08,14:00:00
41.14,2016-11-09,14:00:00
42.31,2016-11-10,14:00:00
41.21,2016-11-11,14:00:00
40.49,2016-11-14,14:00:00
40.65,2016-11-15,14:00:00
42.27,2016-11-16,14:00:00
42.46,2016-11-17,14:00:00
41.78,2016-11-18,14:00:00
43.98,2016-11-21,14:00:00
45.74,2016-11-22,14:00:00
46.08,2016-11-23,14:00:00
46.21,2016-11-24,14:00:00
46.03,2016-11-25,14:00:00
43.98,2016-11-28,14:00:00
45.25,2016-11-29,14:00:00
44.71,2016-11-30,14:00:00
49.52,2016-12-01,14:00:00
51.09,2016-12-02,14:00:00
51.86,2016-12-05,14:00:00
51.61,2016-12-06,14:00:00
50.78,2016-12-07,14:00:00
50.24,2016-12-08,14:00:00
51.38,2016-12-09,14:00:00
54.09,2016-12-12,14:00:00
52.71,2016-12-13,14:00:00
52.26,2016-12-14,14:00:00
51.26,2016-12-15,14:00:00
51.05,2016-12-16,14:00:00
52.62,2016-12-19,14:00:00
51.98,2016-12-20,14:00:00
52.82,2016-12-21,14:00:00
51.67,2016-12-22,14:00:00
51.9,2016-12-23,14:00:00
52.34,2016-12-27,14:00:00
53.33,2016-12-28,14:00:00
53.46,2016-12-29,14:00:00
53.21,2016-12-30,14:00:00
54.04,2017-01-03,14:00:00
53.02,2017-01-04,14:00:00
53.22,2017-01-05,14:00:00
53.77,2017-01-06,14:00:00
53.74,2017-01-09,14:00:00
52.1,2017-01-10,14:00:00
50.8,2017-01-11,14:00:00
52.3,2017-01-12,14:00:00
52.79,2017-01-13,14:00:00
52.1,2017-01-16,14:00:00
52.62,2017-01-17,14:00:00
52.59,2017-01-18,14:00:00
51.48,2017-01-19,14:00:00
51.2,2017-01-20,14:00:00
51.93,2017-01-23,14:00:00
52.24,2017-01-24,14:00:00
51.64,2017-01-25,14:00:00
52.08,2017-01-26,14:00:00
52.7,2017-01-27,14:00:00
51.33,2017-01-31,14:00:00
51.78,2017-02-01,14:00:00
52.9,2017-02-02,14:00:00
53.07,2017-02-03,14:00:00
52.77,2017-02-06,14:00:00
51.69,2017-02-07,14:00:00
50.69,2017-02-08,14:00:00
51.47,2017-02-09,14:00:00
51.65,2017-02-10,14:00:00
52.47,2017-02-13,14:00:00
51.81,2017-02-14,14:00:00
51.69,2017-02-15,14:00:00
51.86,2017-02-16,14:00:00
51.67,2017-02-17,14:00:00
52.06,2017-02-20,14:00:00
52.39,2017-02-21,14:00:00
52.4,2017-02-22,14:00:00
52.41,2017-02-23,14:00:00
52.23,2017-02-24,14:00:00
52.61,2017-02-27,14:00:00
51.9,2017-02-28,14:00:00
52.49,2017-03-01,14:00:00
52.15,2017-03-02,14:00:00
51.37,2017-03-03,14:00:00
51.34,2017-03-06,14:00:00
51.79,2017-03-07,14:00:00
51.37,2017-03-08,14:00:00
49.44,2017-03-09,14:00:00
47.9,2017-03-10,14:00:00
46.9,2017-03-13,13:00:00
47.03,2017-03-14,13:00:00
47.15,2017-03-15,13:00:00
48.02,2017-03-16,13:00:00
47.28,2017-03-17,13:00:00
47.15,2017-03-20,13:00:00
47.53,2017-03-21,13:00:00
46.27,2017-03-22,13:00:00
46.33,2017-03-23,13:00:00
46.14,2017-03-24,13:00:00
45.91,2017-03-27,13:00:00
46.49,2017-03-28,13:00:00
47.2,2017-03-29,13:00:00
47.8,2017-03-30,13:00:00
48.05,2017-03-31,13:00:00
48.68,2017-04-03,13:00:00
48.06,2017-04-04,13:00:00
49.94,2017-04-05,13:00:00
49.54,2017-04-06,13:00:00
50.86,2017-04-07,13:00:00
50.76,2017-04-10,13:00:00
51.01,2017-04-11,13:00:00
51.55,2017-04-12,13:00:00
50.93,2017-04-13,13:00:00
50.37,2017-04-17,13:00:00
49.95,2017-04-18,13:00:00
49.83,2017-04-19,13:00:00
48.04,2017-04-20,13:00:00
47.79,2017-04-21,13:00:00
47.3,2017-04-24,13:00:00
46.56,2017-04-25,13:00:00
46.98,2017-04-26,13:00:00
46.28,2017-04-27,13:00:00
46.82,2017-04-28,13:00:00
46.9,2017-05-02,13:00:00
46.07,2017-05-03,13:00:00
45.58,2017-05-04,13:00:00
44.16,2017-05-05,13:00:00
44.85,2017-05-08,13:00:00
44.89,2017-05-09,13:00:00
46.33,2017-05-11,13:00:00
46.29,2017-05-12,13:00:00
47.68,2017-05-15,13:00:00
47.74,2017-05-16,13:00:00
47.07,2017-05-17,13:00:00
47.73,2017-05-18,13:00:00
48.84,2017-05-19,13:00:00
49.67,2017-05-22,13:00:00
49.01,2017-05-23,13:00:00
50.04,2017-05-24,13:00:00
49.8,2017-05-25,13:00:00
47.28,2017-05-26,13:00:00
47.52,2017-05-29,13:00:00
47.38,2017-05-30,13:00:00
46.96,2017-05-31,13:00:00
47.06,2017-06-01,13:00:00
45.41,2017-06-02,13:00:00
46.04,2017-06-05,13:00:00
45.12,2017-06-06,13:00:00
45.67,2017-06-07,13:00:00
44.39,2017-06-08,13:00:00
43.8,2017-06-09,13:00:00
44.45,2017-06-12,13:00:00
44.68,2017-06-13,13:00:00
44.24,2017-06-14,13:00:00
43.15,2017-06-15,13:00:00
43.52,2017-06-16,13:00:00
43.42,2017-06-19,13:00:00
43.35,2017-06-20,13:00:00
42.1,2017-06-21,13:00:00
41.2,2017-06-22,13:00:00
41.89,2017-06-23,13:00:00
42.78,2017-06-27,13:00:00
42.88,2017-06-28,13:00:00
44.01,2017-06-29,13:00:00
44.03,2017-06-30,13:00:00
45.24,2017-07-03,13:00:00
45.74,2017-07-04,13:00:00
45.87,2017-07-05,13:00:00
44.75,2017-07-06,13:00:00
43.52,2017-07-07,13:00:00
43,2017-07-10,13:00:00
42.96,2017-07-11,13:00:00
44.62,2017-07-12,13:00:00
43.56,2017-07-13,13:00:00
44.59,2017-07-14,13:00:00
45.35,2017-07-17,13:00:00
44.82,2017-07-18,13:00:00
45.08,2017-07-19,13:00:00
46.05,2017-07-20,13:00:00
45.88,2017-07-21,13:00:00
