Prices (USD/bbl),Date (CDT),Time (CDT)
4.099,2021-07-27,06:08:50
4.1,2021-07-27,06:21:03
4.103,2021-07-27,06:32:44
4.105,2021-07-27,06:37:12
4.104,2021-07-27,06:39:14
4.104,2021-07-27,07:01:33
4.104,2021-07-27,07:05:28
4.1,2021-07-27,07:13:29
4.104,2021-07-27,07:22:48
4.098,2021-07-27,07:28:57
4.096,2021-07-27,07:35:30
4.096,2021-07-27,07:39:00
4.094,2021-07-27,07:44:22
4.093,2021-07-27,07:50:57
4.093,2021-07-27,07:54:00
4.091,2021-07-27,08:00:31
4.091,2021-07-27,08:04:50
4.096,2021-07-27,08:09:58
4.098,2021-07-27,08:28:21
4.098,2021-07-27,08:33:26
4.095,2021-07-27,08:39:54
4.094,2021-07-27,08:44:52
4.094,2021-07-27,08:50:01
4.094,2021-07-27,09:07:43
4.097,2021-07-27,09:18:53
4.096,2021-07-27,09:25:23
4.094,2021-07-27,09:31:49
4.095,2021-07-27,09:36:30
4.095,2021-07-27,09:41:17
4.094,2021-07-27,09:47:47
4.094,2021-07-27,09:50:42
4.093,2021-07-27,09:54:20
4.091,2021-07-27,10:03:39
4.092,2021-07-27,10:05:56
4.092,2021-07-27,10:09:12
4.091,2021-07-27,10:16:01
4.091,2021-07-27,10:20:50
4.092,2021-07-27,10:25:00
4.091,2021-07-27,10:30:06
4.09,2021-07-27,10:35:31
4.09,2021-07-27,10:43:33
4.091,2021-07-27,10:49:11
4.097,2021-07-27,10:59:45
4.096,2021-07-27,11:04:45
4.096,2021-07-27,11:09:13
4.095,2021-07-27,11:14:04
4.096,2021-07-27,11:20:31
4.096,2021-07-27,11:26:47
4.096,2021-07-27,11:29:27
4.097,2021-07-27,11:36:00
4.098,2021-07-27,11:40:00
4.095,2021-07-27,12:02:21
4.095,2021-07-27,12:13:31
4.093,2021-07-27,12:16:54
4.094,2021-07-27,12:20:02
4.096,2021-07-27,12:26:17
4.095,2021-07-27,12:37:01
4.094,2021-07-27,12:42:42
4.091,2021-07-27,12:44:20
4.087,2021-07-27,12:49:37
4.092,2021-07-27,12:54:56
4.094,2021-07-27,13:02:07
4.092,2021-07-27,13:07:43
4.088,2021-07-27,13:21:14
4.089,2021-07-27,13:26:14
4.089,2021-07-27,13:28:51
4.085,2021-07-27,13:35:13
4.084,2021-07-27,13:39:49
4.084,2021-07-27,13:43:56
4.081,2021-07-27,13:49:18
4.088,2021-07-27,13:55:58
4.085,2021-07-27,13:59:09
4.09,2021-07-27,14:06:33
4.095,2021-07-27,14:08:52
4.09,2021-07-27,14:14:47
4.092,2021-07-27,14:19:43
4.095,2021-07-27,14:24:00
4.092,2021-07-27,14:28:55
4.09,2021-07-27,14:34:00
4.087,2021-07-27,14:38:50
4.082,2021-07-27,14:50:39
4.082,2021-07-27,14:54:41
4.093,2021-07-27,15:00:04
4.095,2021-07-27,15:09:44
4.092,2021-07-27,15:15:45
4.091,2021-07-27,15:22:13
4.097,2021-07-27,15:25:07
4.097,2021-07-27,15:30:57
4.103,2021-07-27,15:37:16
4.102,2021-07-27,15:39:37
4.105,2021-07-27,15:44:32
4.111,2021-07-27,15:50:50
4.111,2021-07-27,15:57:47
4.11,2021-07-27,15:59:59
4.11,2021-07-27,16:06:44
4.108,2021-07-27,16:12:48
4.114,2021-07-27,16:20:55
4.11,2021-07-27,16:26:23
4.113,2021-07-27,16:30:39
4.11,2021-07-27,16:37:01
4.104,2021-07-27,16:39:41
4.107,2021-07-27,16:47:04
4.106,2021-07-27,16:51:51
4.102,2021-07-27,17:02:56
4.095,2021-07-27,17:04:50
4.091,2021-07-27,17:11:49
4.091,2021-07-27,17:16:06
4.09,2021-07-27,17:21:40
4.095,2021-07-27,17:29:03
4.09,2021-07-27,17:35:42
4.095,2021-07-27,17:40:33
4.088,2021-07-27,17:45:40
4.088,2021-07-27,17:49:01
4.086,2021-07-27,17:54:17
4.077,2021-07-27,18:01:59
4.077,2021-07-27,18:05:02
4.06,2021-07-27,18:09:49
4.064,2021-07-27,18:15:00
4.071,2021-07-27,18:19:52
4.063,2021-07-27,18:24:57
4.074,2021-07-27,18:29:51
4.086,2021-07-27,18:35:40
4.087,2021-07-27,18:40:47
4.08,2021-07-27,18:44:55
4.063,2021-07-27,18:49:42
4.063,2021-07-27,18:54:44
4.06,2021-07-27,19:00:00
4.076,2021-07-27,19:04:53
4.077,2021-07-27,19:09:57
4.078,2021-07-27,19:14:53
4.061,2021-07-27,19:20:01
4.074,2021-07-27,19:24:00
4.072,2021-07-27,19:28:56
4.062,2021-07-27,19:33:54
4.04,2021-07-27,19:39:01
4.023,2021-07-27,19:44:01
4.029,2021-07-27,19:48:51
4.032,2021-07-27,19:54:52
4.033,2021-07-27,19:58:55
4.022,2021-07-27,20:04:01
4.025,2021-07-27,20:08:58
4.042,2021-07-27,20:14:00
4.039,2021-07-27,20:18:57
4.037,2021-07-27,20:24:52
4.021,2021-07-27,20:29:01
4.024,2021-07-27,20:33:52
4.038,2021-07-27,20:38:53
4.035,2021-07-27,20:43:50
4.031,2021-07-27,20:48:58
4.025,2021-07-27,20:53:55
4.008,2021-07-27,20:59:00
4.016,2021-07-27,21:05:00
4.016,2021-07-27,21:09:49
4.002,2021-07-27,21:14:02
4.01,2021-07-27,21:18:58
4.012,2021-07-27,21:23:50
4.011,2021-07-27,21:28:57
4.009,2021-07-27,21:34:00
4.001,2021-07-27,21:40:00
3.998,2021-07-27,21:44:55
4.002,2021-07-27,21:49:53
3.994,2021-07-27,21:53:53
3.994,2021-07-27,21:59:00
4.007,2021-07-27,22:03:55
3.996,2021-07-27,22:08:58
3.996,2021-07-27,22:13:58
4.002,2021-07-27,22:18:50
4.003,2021-07-27,22:25:01
3.996,2021-07-27,22:28:53
4,2021-07-27,22:33:58
3.997,2021-07-27,22:39:01
3.991,2021-07-27,22:44:55
3.996,2021-07-27,22:48:55
3.999,2021-07-27,22:55:00
4.005,2021-07-27,22:58:57
3.999,2021-07-27,23:05:00
3.997,2021-07-27,23:09:47
3.995,2021-07-27,23:14:01
3.99,2021-07-27,23:18:58
3.99,2021-07-27,23:23:58
3.989,2021-07-27,23:28:58
3.987,2021-07-27,23:33:58
3.994,2021-07-27,23:40:30
3.994,2021-07-27,23:44:17
3.993,2021-07-27,23:48:59
3.986,2021-07-27,23:54:54
3.987,2021-07-27,23:58:58
3.991,2021-07-28,00:04:01
3.984,2021-07-28,00:08:59
3.991,2021-07-28,00:15:02
3.986,2021-07-28,00:18:50
3.985,2021-07-28,00:24:39
3.977,2021-07-28,00:29:01
3.982,2021-07-28,00:35:01
3.982,2021-07-28,00:39:28
3.988,2021-07-28,00:44:33
3.987,2021-07-28,00:48:56
3.989,2021-07-28,00:54:00
3.992,2021-07-28,00:58:58
4.001,2021-07-28,01:04:59
4.003,2021-07-28,01:10:00
4.004,2021-07-28,01:13:50
3.996,2021-07-28,01:18:57
3.981,2021-07-28,01:24:00
3.972,2021-07-28,01:29:01
3.974,2021-07-28,01:33:58
3.958,2021-07-28,01:39:01
3.956,2021-07-28,01:43:53
3.96,2021-07-28,01:49:01
3.962,2021-07-28,01:53:55
3.964,2021-07-28,02:00:00
3.969,2021-07-28,02:03:59
3.968,2021-07-28,02:09:37
3.964,2021-07-28,02:13:54
3.962,2021-07-28,02:18:56
3.965,2021-07-28,02:24:45
3.96,2021-07-28,02:28:58
3.962,2021-07-28,02:34:40
3.96,2021-07-28,02:41:00
3.955,2021-07-28,02:44:50
3.954,2021-07-28,02:48:51
3.952,2021-07-28,02:54:09
3.954,2021-07-28,02:59:57
3.958,2021-07-28,03:05:02
3.958,2021-07-28,03:10:53
3.957,2021-07-28,03:17:30
3.955,2021-07-28,03:23:06
3.955,2021-07-28,03:24:39
3.948,2021-07-28,03:28:58
3.948,2021-07-28,03:34:32
3.942,2021-07-28,03:38:55
3.936,2021-07-28,03:44:51
3.947,2021-07-28,03:49:46
3.945,2021-07-28,03:54:23
3.948,2021-07-28,03:59:13
3.971,2021-07-28,04:04:00
3.947,2021-07-28,05:00:00
3.953,2021-07-28,05:04:49
3.953,2021-07-28,05:46:02
3.953,2021-07-28,05:55:19
3.964,2021-07-28,05:59:48
3.961,2021-07-28,06:23:11
3.967,2021-07-28,07:08:48
3.966,2021-07-28,07:09:20
3.966,2021-07-28,07:28:34
3.966,2021-07-28,08:02:16
3.963,2021-07-28,08:20:10
3.958,2021-07-28,08:25:44
3.963,2021-07-28,08:29:23
3.956,2021-07-28,09:00:07
3.949,2021-07-28,09:12:25
3.946,2021-07-28,09:47:27
3.945,2021-07-28,09:52:50
3.943,2021-07-28,10:03:59
