Prices (USD/bbl),Date (CDT),Time (CDT)
73.95,2021-07-31,06:55:13
73.86,2021-08-02,05:00:00
73.88,2021-08-02,05:01:01
73.72,2021-08-02,05:06:01
73.82,2021-08-02,05:10:53
73.84,2021-08-02,05:16:01
73.85,2021-08-02,05:20:58
73.8,2021-08-02,05:26:01
73.82,2021-08-02,05:30:52
73.87,2021-08-02,05:35:48
73.86,2021-08-02,05:40:48
73.88,2021-08-02,05:45:51
73.88,2021-08-02,05:50:34
73.84,2021-08-02,05:55:57
73.82,2021-08-02,06:00:38
73.81,2021-08-02,06:05:50
73.83,2021-08-02,06:10:30
73.83,2021-08-02,06:15:59
73.81,2021-08-02,06:20:59
73.78,2021-08-02,06:25:53
73.76,2021-08-02,06:30:53
73.73,2021-08-02,06:36:00
73.71,2021-08-02,06:41:01
73.73,2021-08-02,06:46:00
73.73,2021-08-02,06:50:54
73.74,2021-08-02,06:55:42
73.72,2021-08-02,07:01:00
73.62,2021-08-02,07:06:00
73.56,2021-08-02,07:10:35
73.63,2021-08-02,07:15:50
73.64,2021-08-02,07:20:56
73.62,2021-08-02,07:25:59
73.53,2021-08-02,07:31:00
73.59,2021-08-02,07:35:58
73.53,2021-08-02,07:41:00
73.54,2021-08-02,07:45:51
73.6,2021-08-02,07:51:01
73.56,2021-08-02,07:55:57
73.44,2021-08-02,08:01:01
73.42,2021-08-02,08:06:01
73.32,2021-08-02,08:11:02
73.27,2021-08-02,08:16:01
73.27,2021-08-02,08:21:00
73.27,2021-08-02,08:26:01
73.19,2021-08-02,08:31:00
73.21,2021-08-02,08:35:57
73.21,2021-08-02,08:41:00
73.11,2021-08-02,08:46:01
72.99,2021-08-02,08:51:00
72.99,2021-08-02,08:56:00
72.92,2021-08-02,09:00:59
72.95,2021-08-02,09:06:00
72.83,2021-08-02,09:11:00
72.78,2021-08-02,09:16:01
72.87,2021-08-02,09:21:01
72.9,2021-08-02,09:26:01
73.05,2021-08-02,09:31:01
72.95,2021-08-02,09:35:59
72.94,2021-08-02,09:40:48
72.87,2021-08-02,09:45:52
72.94,2021-08-02,09:51:01
72.98,2021-08-02,09:55:53
73.02,2021-08-02,10:01:01
73.1,2021-08-02,10:06:01
73.03,2021-08-02,10:10:58
73.01,2021-08-02,10:16:00
73.05,2021-08-02,10:21:01
73.08,2021-08-02,10:25:59
73.08,2021-08-02,10:31:01
73.1,2021-08-02,10:35:54
73.13,2021-08-02,10:40:57
73.14,2021-08-02,10:45:49
73.16,2021-08-02,10:50:57
73.17,2021-08-02,10:55:59
73.18,2021-08-02,11:01:01
73.16,2021-08-02,11:05:51
73.18,2021-08-02,11:10:33
73.14,2021-08-02,11:15:58
73.18,2021-08-02,11:21:00
73.2,2021-08-02,11:25:58
73.23,2021-08-02,11:30:57
73.26,2021-08-02,11:35:59
73.3,2021-08-02,11:40:58
73.28,2021-08-02,11:45:48
73.27,2021-08-02,11:50:59
73.26,2021-08-02,11:55:59
73.26,2021-08-02,12:01:00
73.28,2021-08-02,12:05:47
73.23,2021-08-02,12:10:54
73.25,2021-08-02,12:15:36
73.28,2021-08-02,12:20:39
73.33,2021-08-02,12:26:00
73.32,2021-08-02,12:31:00
73.3,2021-08-02,12:35:59
73.24,2021-08-02,12:40:59
73.26,2021-08-02,12:45:59
73.19,2021-08-02,12:50:58
73.07,2021-08-02,12:56:01
73.12,2021-08-02,13:01:01
73.21,2021-08-02,13:05:59
73.22,2021-08-02,13:11:02
73.18,2021-08-02,13:15:59
73.21,2021-08-02,13:20:58
73.1,2021-08-02,13:25:53
73.12,2021-08-02,13:31:01
73.14,2021-08-02,13:35:59
73.21,2021-08-02,13:41:01
73.2,2021-08-02,13:46:01
73.26,2021-08-02,13:50:54
73.27,2021-08-02,13:55:56
73.25,2021-08-02,14:01:01
73.35,2021-08-02,14:06:01
73.32,2021-08-02,14:11:01
73.34,2021-08-02,14:16:00
73.29,2021-08-02,14:20:51
73.4,2021-08-02,14:25:59
73.34,2021-08-02,14:30:56
73.35,2021-08-02,14:35:55
73.29,2021-08-02,14:41:01
73.23,2021-08-02,14:46:01
73.23,2021-08-02,14:51:00
73.12,2021-08-02,14:56:01
73.01,2021-08-02,15:01:01
73.06,2021-08-02,15:06:02
73.02,2021-08-02,15:10:58
73.11,2021-08-02,15:16:01
73.22,2021-08-02,15:21:01
73.21,2021-08-02,15:26:01
73.16,2021-08-02,15:31:01
73.12,2021-08-02,15:35:58
73.17,2021-08-02,15:40:55
73.26,2021-08-02,15:46:01
73.28,2021-08-02,15:50:57
73.25,2021-08-02,15:55:58
73.25,2021-08-02,16:00:58
73.16,2021-08-02,16:05:59
73.2,2021-08-02,16:10:58
73.19,2021-08-02,16:15:51
73.13,2021-08-02,16:21:01
73.13,2021-08-02,16:26:01
73.12,2021-08-02,16:31:00
73.14,2021-08-02,16:35:56
73.11,2021-08-02,16:41:01
73.08,2021-08-02,16:45:57
73.05,2021-08-02,16:51:01
73.03,2021-08-02,16:56:00
72.77,2021-08-02,17:01:01
72.77,2021-08-02,17:06:01
72.77,2021-08-02,17:11:00
72.79,2021-08-02,17:16:01
72.76,2021-08-02,17:21:00
72.81,2021-08-02,17:26:00
72.81,2021-08-02,17:31:01
72.76,2021-08-02,17:35:59
72.78,2021-08-02,17:41:00
72.75,2021-08-02,17:46:00
72.72,2021-08-02,17:50:56
72.76,2021-08-02,17:56:00
72.66,2021-08-02,18:01:01
72.7,2021-08-02,18:06:00
72.75,2021-08-02,18:11:00
72.87,2021-08-02,18:15:59
72.95,2021-08-02,18:21:00
72.93,2021-08-02,18:26:01
72.95,2021-08-02,18:31:01
72.93,2021-08-02,18:35:56
72.98,2021-08-02,18:40:51
72.95,2021-08-02,18:45:59
72.96,2021-08-02,18:50:59
72.95,2021-08-02,18:55:53
72.87,2021-08-02,19:01:01
72.85,2021-08-02,19:06:00
