Prices (USD/bbl),Date (CDT),Time (CDT)
72.18,2021-07-27,06:00:01
72.16,2021-07-27,06:05:55
72.18,2021-07-27,06:11:01
72.15,2021-07-27,06:15:44
72.13,2021-07-27,06:21:01
72.15,2021-07-27,06:25:52
72.14,2021-07-27,06:30:41
72.13,2021-07-27,06:35:59
72.14,2021-07-27,06:40:47
72.13,2021-07-27,06:45:33
72.12,2021-07-27,06:51:01
72.11,2021-07-27,06:55:48
72.08,2021-07-27,07:00:01
72.12,2021-07-27,07:05:58
72.09,2021-07-27,07:10:48
72.01,2021-07-27,07:16:00
72.02,2021-07-27,07:20:55
72.04,2021-07-27,07:25:55
72,2021-07-27,07:30:51
72,2021-07-27,07:35:59
71.98,2021-07-27,07:40:01
71.99,2021-07-27,07:45:47
71.93,2021-07-27,07:50:58
71.92,2021-07-27,07:56:01
71.93,2021-07-27,08:00:01
72.02,2021-07-27,08:05:58
71.97,2021-07-27,08:11:01
72.01,2021-07-27,08:16:01
72,2021-07-27,08:20:56
72.01,2021-07-27,08:25:55
72.03,2021-07-27,08:31:01
72.09,2021-07-27,08:35:01
72.09,2021-07-27,08:41:01
72.06,2021-07-27,08:45:01
72.11,2021-07-27,08:50:01
72.14,2021-07-27,08:55:58
72.11,2021-07-27,09:00:53
72.16,2021-07-27,09:05:01
72.19,2021-07-27,09:10:57
72.21,2021-07-27,09:16:00
72.15,2021-07-27,09:20:59
72.11,2021-07-27,09:25:01
72.1,2021-07-27,09:30:01
72.24,2021-07-27,09:35:01
72.31,2021-07-27,09:40:01
72.3,2021-07-27,09:45:02
72.26,2021-07-27,09:50:58
72.29,2021-07-27,09:56:01
72.26,2021-07-27,10:00:01
72.26,2021-07-27,10:06:01
72.22,2021-07-27,10:11:01
72.22,2021-07-27,10:15:55
72.2,2021-07-27,10:20:32
72.12,2021-07-27,10:25:01
72.16,2021-07-27,10:30:27
72.19,2021-07-27,10:36:01
72.19,2021-07-27,10:40:51
72.2,2021-07-27,10:45:59
72.14,2021-07-27,10:51:00
72.17,2021-07-27,10:56:01
72.17,2021-07-27,11:00:01
72.15,2021-07-27,11:05:47
72.18,2021-07-27,11:10:01
72.15,2021-07-27,11:15:54
72.15,2021-07-27,11:20:39
72.19,2021-07-27,11:25:58
72.18,2021-07-27,11:30:58
72.18,2021-07-27,11:35:47
72.16,2021-07-27,11:40:59
72.17,2021-07-27,11:45:59
72.15,2021-07-27,11:50:59
72.15,2021-07-27,11:55:43
72.16,2021-07-27,12:00:01
72.11,2021-07-27,12:05:55
72.08,2021-07-27,12:10:01
72.1,2021-07-27,12:17:01
72.12,2021-07-27,12:20:43
72.16,2021-07-27,12:25:01
72.17,2021-07-27,12:30:01
72.13,2021-07-27,12:36:01
72.14,2021-07-27,12:41:00
72.15,2021-07-27,12:45:01
72.14,2021-07-27,12:50:02
72.17,2021-07-27,12:55:58
72.12,2021-07-27,13:01:01
72.12,2021-07-27,13:05:59
72.07,2021-07-27,13:11:00
72.08,2021-07-27,13:15:57
72.04,2021-07-27,13:21:01
72.09,2021-07-27,13:25:59
72.08,2021-07-27,13:30:02
72.01,2021-07-27,13:35:01
71.97,2021-07-27,13:40:01
71.94,2021-07-27,13:46:01
71.97,2021-07-27,13:50:59
71.87,2021-07-27,13:55:01
71.83,2021-07-27,14:00:01
71.81,2021-07-27,14:05:01
71.74,2021-07-27,14:10:01
71.69,2021-07-27,14:16:01
71.69,2021-07-27,14:20:01
71.72,2021-07-27,14:26:01
71.6,2021-07-27,14:30:01
71.67,2021-07-27,14:36:00
71.64,2021-07-27,14:40:01
71.58,2021-07-27,14:45:01
71.5,2021-07-27,14:50:57
71.68,2021-07-27,14:55:59
71.8,2021-07-27,15:00:01
71.94,2021-07-27,15:05:01
72.02,2021-07-27,15:10:01
71.97,2021-07-27,15:16:01
71.77,2021-07-27,15:21:00
71.98,2021-07-27,15:25:01
71.99,2021-07-27,15:30:01
72.02,2021-07-27,15:35:01
71.97,2021-07-27,15:40:01
72.04,2021-07-27,15:45:57
72.1,2021-07-27,15:50:01
72.1,2021-07-27,15:55:57
72.05,2021-07-27,16:00:01
71.84,2021-07-27,16:06:00
71.87,2021-07-27,16:10:01
71.9,2021-07-27,16:15:01
71.91,2021-07-27,16:20:01
71.87,2021-07-27,16:26:01
71.89,2021-07-27,16:30:01
71.88,2021-07-27,16:35:55
72.01,2021-07-27,16:40:01
71.97,2021-07-27,16:45:59
71.95,2021-07-27,16:51:01
72.08,2021-07-27,16:56:01
72.1,2021-07-27,17:00:02
72.11,2021-07-27,17:06:00
71.97,2021-07-27,17:11:01
71.83,2021-07-27,17:15:01
71.92,2021-07-27,17:20:58
71.93,2021-07-27,17:25:58
71.95,2021-07-27,17:30:56
71.91,2021-07-27,17:35:52
71.91,2021-07-27,17:41:00
71.93,2021-07-27,17:45:52
71.93,2021-07-27,17:50:01
71.93,2021-07-27,17:55:48
71.94,2021-07-27,18:00:01
71.96,2021-07-27,18:05:02
71.99,2021-07-27,18:11:00
72.07,2021-07-27,18:15:01
72.05,2021-07-27,18:20:01
72.05,2021-07-27,18:26:00
72.12,2021-07-27,18:30:01
72.18,2021-07-27,18:35:59
72.18,2021-07-27,18:41:01
72.01,2021-07-27,18:46:01
71.91,2021-07-27,18:51:01
71.89,2021-07-27,18:56:01
71.89,2021-07-27,19:00:01
71.81,2021-07-27,19:06:00
71.91,2021-07-27,19:10:01
71.98,2021-07-27,19:16:01
71.92,2021-07-27,19:20:01
71.96,2021-07-27,19:26:02
71.93,2021-07-27,19:30:01
71.91,2021-07-27,19:36:01
71.79,2021-07-27,19:41:01
71.81,2021-07-27,19:45:01
71.93,2021-07-27,19:50:01
71.9,2021-07-27,19:55:57
71.98,2021-07-27,20:00:01
71.84,2021-07-27,20:05:01
71.82,2021-07-27,20:10:01
71.9,2021-07-27,20:16:00
71.95,2021-07-27,20:20:01
72.01,2021-07-27,20:25:01
71.91,2021-07-27,20:30:01
72.03,2021-07-27,20:35:01
